SCHUL_KND_SC_NM,ORG_RDNMA,ORG_RDNDA
중학교,서울특별시 광진구 광나루로36길 47,", 동국대학교사범대학부속가람중학교 (구의동)"
각종학교(중),서울특별시 광진구 천호대로 664,/ 선화예술중고등학교 (능동)
초등학교,서울특별시 성동구 마장로 161,(하왕십리동)
중학교,서울특별시 성동구 왕십리로 189,(행당동/행당중학교)
중학교,서울특별시 성동구 마조로 42,(사근동/한양사대부속중·고등학교)
중학교,서울특별시 광진구 뚝섬로41길 33,(자양동/서울자양중학교)
중학교,서울특별시 광진구 용마산로22길 76,(중곡동/용곡중학교)
중학교,서울특별시 성동구 한림말길 11,/ 옥정중학교 (옥수동)
중학교,서울특별시 광진구 워커힐로 32,/ 양진중학교
중학교,서울특별시 광진구 자양강변길 73,/ 신양중학교 (자양동)
중학교,서울특별시 성동구 성덕정9가길 13,(성수동2가/ 성원중학교)
중학교,서울특별시 성동구 서울숲길 18,(성수동1가/ 성수중학교)
중학교,서울특별시 성동구 행당로 120,(행당동)
중학교,서울특별시 성동구 마장로35나길 31,/ 마장중학교 (마장동)
중학교,서울특별시 광진구 용마산로22길 26,/ 대원국제중학교 (중곡동)
중학교,서울특별시 성동구 마조로11길 18,(마장동)
중학교,서울특별시 광진구 광나루로30길 80,(화양동)
중학교,서울특별시 성동구 독서당로62길 46,/ 광희중학교 (응봉동)
중학교,서울특별시 광진구 뚝섬로64길 45,(자양동/광진중학교)
중학교,서울특별시 광진구 광장로1길 1,/ 광장중학교 (광장동)
중학교,서울특별시 광진구 자양로3길 7,(자양동)
중학교,서울특별시 광진구 아차산로70길 17-62,/ 광남중학교 (광장동)
중학교,서울특별시 성동구 성수일로 27,(성수동1가)
중학교,서울특별시 성동구 뚝섬로13길 14,(성수동2가)
중학교,서울특별시 광진구 자양로 145-1,건국대학교사범대학부속중학교
초등학교,서울특별시 성동구 살곶이길 208,/ 한양초등학교 (사근동)
초등학교,서울특별시 광진구 군자로 114,/ 세종초등학교 (군자동)
초등학교,서울특별시 광진구 자양로4길 63,(자양동)
초등학교,서울특별시 성동구 행당로 95,(행당동)
초등학교,서울특별시 성동구 고산자로8길 6,/ 서울행당초등학교 (행당동)
초등학교,서울특별시 광진구 동일로72길 43,(중곡동)
초등학교,서울특별시 광진구 긴고랑로13길 59,(중곡동/중광초등학교)
초등학교,서울특별시 광진구 군자로 74,(군자동)
초등학교,서울특별시 광진구 아차산로44길 26,(자양동)
초등학교,서울특별시 성동구 독서당로62길 28,(응봉동/ 응봉초등학교)
초등학교,서울특별시 광진구 천호대로113길 10,(중곡동)
초등학교,서울특별시 성동구 용답25길 1,/ 서울용답초등학교
초등학교,서울특별시 광진구 용마산로22길 82,/ 서울용곡초등학교 (중곡동)
초등학교,서울특별시 성동구 한림말길 43,(옥수동/옥정초등학교)
초등학교,서울특별시 성동구 금호로1길 25,/ 옥수초등학교 (금호동4가)
초등학교,서울특별시 광진구 워커힐로 32,(광장동/양진초중학교)
초등학교,서울특별시 광진구 뚝섬로64길 71,/ (자양동/ 서울양남초등학교)
초등학교,서울특별시 광진구 뚝섬로46길 64,/ 서울신자초등학교 (자양동)
초등학교,서울특별시 광진구 능동로 42,/ 신양초등학교 (자양동)
초등학교,서울특별시 성동구 동일로43길 9,(송정동)
초등학교,서울특별시 광진구 뚝섬로56길 7,/ 서울성자초등학교 (자양동)
초등학교,서울특별시 성동구 아차산로17길 21,(성수동2가)
초등학교,서울특별시 성동구 사근동11길 16,(사근동/ 사근초등학교)
초등학교,서울특별시 성동구 무학봉15길 21,/ 서울무학초등학교 (하왕십리동)
초등학교,서울특별시 성동구 마장로35나길 31,/ 서울마장초등학교 (마장동)
초등학교,서울특별시 성동구 매봉길 49-35,(옥수동/ 동호초등학교)
초등학교,서울특별시 광진구 뚝섬로 561,(자양동)
초등학교,서울특별시 광진구 영화사로 111,(구의동/서울동의초등학교)
초등학교,서울특별시 성동구 마장로29길 29,/ 서울동명초등학교 (마장동)
초등학교,서울특별시 성동구 무수막길 69,/ 서울금호초등학교 (금호동2가)
초등학교,서울특별시 성동구 독서당로 251,(금호동4가/ 서울금옥초등학교)
초등학교,서울특별시 성동구 행당로1길 13,/ 서울금북초등학교 (금호동1가)
초등학교,서울특별시 광진구 광나루로30길 49,/ 서울구의초등학교 (화양동)
초등학교,서울특별시 광진구 구의강변로 69,/ 서울구남초등학교 (구의동)
초등학교,서울특별시 광진구 자양로40길 41,/ 서울광진초등학교 (구의동)
초등학교,서울특별시 광진구 광장로1길 27,/ 서울광장초등학교 (광장동)
초등학교,서울특별시 광진구 아차산로70길 35,(광장동)
초등학교,서울특별시 성동구 뚝섬로 332,(성수동1가)
초등학교,서울특별시 성동구 뚝섬로13길 22,(성수동2가/경수초등학교)
초등학교,서울특별시 성동구 성수일로 34,(성수동1가/경동초등학교)
초등학교,서울특별시 광진구 천호대로130길 58,/ 경복초등학교 (능동)
중학교,서울특별시 동작구 서달로 124,/ 중앙대학교사범대학부속중학교 (흑석동)
중학교,서울특별시 동작구 장승배기로10가길 25,/ 장승중학교 (상도동)
중학교,서울특별시 관악구 인헌9길 35,/ 인헌중학교 (봉천동)
중학교,서울특별시 동작구 등용로8길 5,/ 영등포중학교 (대방동)
중학교,서울특별시 관악구 신림로 40,(신림동/신림중학교)
중학교,서울특별시 관악구 신림로48길 17-16,/ (신림동 신관중학교)
중학교,서울특별시 동작구 여의대방로36길 79,(대방동)
중학교,서울특별시 관악구 남부순환로156길 39,성보중학교 (신림동)
중학교,서울특별시 동작구 대방동길 74,(대방동)
중학교,서울특별시 관악구 관악로 85,(봉천동)
중학교,서울특별시 동작구 사당로2길 2-19,(상도동)
중학교,서울특별시 동작구 사당로2가길 72,/ 상도중학교 (사당동)
중학교,서울특별시 관악구 신림로3가길 39-24,(신림동/삼성중학교)
중학교,서울특별시 동작구 사당로9가길 58,/ 사당중학교 (사당동)
중학교,서울특별시 관악구 관악로24가길 15,/ 봉원중학교 (봉천동/봉원중학교)
중학교,서울특별시 관악구 장군봉길 72,(봉천동)
중학교,서울특별시 관악구 문성로16길 40,(신림동)
중학교,서울특별시 동작구 여의대방로22나길 40,(신대방동)
중학교,서울특별시 동작구 동작대로39가길 83,(동작동)
중학교,서울특별시 동작구 흑석로9길 94,/ 동양중학교 (흑석동)
중학교,서울특별시 동작구 여의대방로10길 24,(신대방동/ 대방중학교)
중학교,서울특별시 관악구 봉천로13길 101,/ 당곡중학교 (봉천동)
중학교,서울특별시 동작구 남부순환로269길 166,(사당동/남성중학교)
중학교,서울특별시 관악구 남부순환로172길 97,/ 남서울중학교 (신림동)
중학교,서울특별시 관악구 난곡로34길 80,(신림동/남강중고등학교)
중학교,서울특별시 관악구 난곡로16길 32,/ 난우중학교 (신림동)
중학교,서울특별시 동작구 양녕로20길 20,/ 국사봉중학교 (상도동)
중학교,서울특별시 관악구 성현로 53,(봉천동)
중학교,서울특별시 관악구 광신길 141,/ 광신중학교 (신림동)
중학교,서울특별시 관악구 남부순환로237길 60,/ 관악중학교 (봉천동)
중학교,서울특별시 동작구 상도로13라길 22,/ 강현중학교 (상도동)
중학교,서울특별시 동작구 대방동15길 29,(대방동/ 강남중학교)
초등학교,서울특별시 동작구 서달로 135,(흑석동/ 중앙대부속초등학교)
초등학교,서울특별시 동작구 현충로 87,/ 서울흑석초등학교 (흑석동)
초등학교,서울특별시 동작구 솔밭로 47,(사당동/행림초등학교)
초등학교,서울특별시 관악구 관악로5길 61,(봉천동)
초등학교,서울특별시 관악구 조원로 67,(신림동)
초등학교,서울특별시 관악구 낙성대로 23,(봉천동)
초등학교,서울특별시 관악구 은천로 69,(봉천동)
초등학교,서울특별시 동작구 서달로 115,/ 서울은로초등학교 (흑석동)
초등학교,서울특별시 관악구 광신길 177,/ 원신초등학교 (신림동)
초등학교,서울특별시 관악구 봉천로 505,(봉천동)
초등학교,서울특별시 동작구 등용로8길 3,/ 서울영화초등학교 (대방동)
초등학교,서울특별시 동작구 만양로12가길 69,/ 서울영본초등학교 (본동)
초등학교,서울특별시 관악구 호암로 498,/ 신우초등학교 (신림동)
초등학교,서울특별시 관악구 신림로 114,/ 서울신성초등학교 (신림동)
초등학교,서울특별시 동작구 장승배기로 14,(상도동/서울신상도초등학교)
초등학교,서울특별시 관악구 양녕로6나길 1,(봉천동)
초등학교,서울특별시 관악구 문성로28길 31,/ 서울신림초등학교 (신림동)
초등학교,서울특별시 동작구 사당로 146,(사당동)
초등학교,서울특별시 동작구 알마타길 16,(대방동)
초등학교,서울특별시 동작구 상도로58길 21,(상도동)
초등학교,서울특별시 동작구 성대로21길 62,(상도동/상도초등학교)
초등학교,서울특별시 동작구 사당로23나길 27,/ 서울삼일초등학교 (사당동)
초등학교,서울특별시 관악구 대학7길 52,/ 삼성초등학교 (신림동)
초등학교,서울특별시 관악구 남현4길 51,/ 서울사당초등학교 (남현동)
초등학교,서울특별시 관악구 성현로 117,(봉천동/서울봉현초등학교)
초등학교,서울특별시 관악구 행운1라길 17,/ 서울봉천초등학교 (봉천동/봉천초등학교)
초등학교,서울특별시 동작구 노량진로26길 16-40,/ 서울본동초등학교 (본동)
초등학교,서울특별시 동작구 여의대방로16길 30,/ 서울보라매초등학교 (신대방동)
초등학교,서울특별시 관악구 문성로 79,/ 서울미성초등학교 (신림동)
초등학교,서울특별시 동작구 신대방2길 14,(신대방동/서울문창초등학교)
초등학교,서울특별시 동작구 동작대로29길 214,/ 서울동작초등학교 (사당동)
초등학교,서울특별시 동작구 대방동1길 22,(대방동)
초등학교,서울특별시 관악구 보라매로2길 23,/ 23 (봉천동/당곡초등학교)
초등학교,서울특별시 동작구 장승배기로 160,(노량진동)
초등학교,서울특별시 동작구 사당로23길 57-14,(사당동/ 서울남성초등학교)
초등학교,서울특별시 동작구 동작대로13길 22,(사당동)
초등학교,서울특별시 관악구 남부순환로163길 14,/ 서울남부초등학교 (신림동)
초등학교,서울특별시 관악구 난향길 9,(신림동/난향초등학교)
초등학교,서울특별시 관악구 난우길 40,(신림동/난우초등학교)
초등학교,서울특별시 관악구 난곡로35길 102,(신림동/ 난곡초등학교)
초등학교,서울특별시 관악구 구암길 1,/ 서울구암초등학교 (봉천동)
초등학교,서울 관악구 청룡4길 49,/ 관악초등학교 (봉천동/관악초등학교)
초등학교,서울특별시 동작구 강남초등길 15,(상도1동)
중학교,서울특별시 송파구 송파대로38길 8,"(송파동,잠실여자중학교)"
중학교,서울특별시 강동구 천호대로219길 61,(상일동/ 상일여자중학교)
중학교,서울특별시 송파구 위례북로2길 10,/ 위례솔중학교 (거여동)
초등학교,서울특별시 송파구 위례북로2길 12,/ 12
중학교,서울특별시 강동구 아리수로93다길 1,"(강일동, 강빛초중통합학교)"
초등학교,서울특별시 강동구 아리수로93다길 1,"(강일동, 강빛초중통합학교)"
초등학교,서울특별시 강동구 상일로11길 110,/ 서울고현초등학교
중학교,서울특별시 송파구 송파대로37길 95,", 해누리중학교 (가락동)"
초등학교,서울특별시 송파구 송파대로37길 95,(가락동)
초등학교,서울특별시 강동구 고덕로97길 80,/ 서울강솔초등학교 (강일동)
초등학교,서울특별시 송파구 위례광장로 243,/ 서울위례별초등학교 (장지동)
중학교,서울특별시 강동구 동남로 832,/ 한영중학교 (상일동)
중학교,서울특별시 강동구 풍성로 251,(둔촌동)
중학교,서울특별시 송파구 강동대로2길 27,(풍납동/ 풍성중학교)
중학교,서울특별시 송파구 올림픽로43길 20,(풍납동)
중학교,서울특별시 강동구 상암로 153,(천호동)
중학교,서울특별시 강동구 천중로 57,(천호동/천일중학교)
중학교,서울특별시 송파구 올림픽로4길 16,/ 정신여자중학교 (잠실동)
중학교,서울특별시 송파구 올림픽로35길 130,(신천동)
중학교,서울특별시 송파구 잠실로 12,/ 잠신중학교 (잠실동)
중학교,서울특별시 송파구 동남로 281,(오금동/ 오주중학교)
중학교,서울특별시 송파구 양재대로 1242,(방이동/오륜중학교)
중학교,서울특별시 송파구 오금로35길 20,(오금동/오금중학교)
중학교,서울특별시 송파구 올림픽로 565,(풍납동)
중학교,서울특별시 송파구 올림픽로4길 69,/ 아주중학교 (잠실동)
중학교,서울특별시 송파구 백제고분로 11,/ 신천중학교 (잠실동)
중학교,서울특별시 강동구 고덕로 65,/ 신암중학교 (암사동)
중학교,서울특별시 강동구 명일로24길 25,(길동)
중학교,서울특별시 송파구 동남로 203,(가락동/ 송파중학교)
중학교,서울특별시 송파구 위례순환로 429,(장지동)
중학교,서울특별시 송파구 양재대로72길 41,(오금동/세륜중학교)
중학교,서울특별시 강동구 구천면로 396,(천호동/ 성덕여자중학교)
중학교,서울특별시 강동구 성안로7길 36,(성내동/성내중학교)
중학교,서울특별시 송파구 송이로15길 13,(가락동)
중학교,서울특별시 송파구 강동대로 232,/ 서울체육중학교 (방이동)
중학교,서울특별시 송파구 오금로49길 18,(오금동/ 보인중고등학교)
중학교,서울특별시 송파구 양재대로 1278,(방이동/보성중고등학교)
중학교,서울특별시 강동구 고덕로 227,(고덕동/ 배재중학교)
중학교,서울특별시 송파구 삼학사로 11,(삼전동/배명중고등학교)
중학교,서울특별시 송파구 오금로11길 64,(방이동/방이중학교)
중학교,서울특별시 송파구 오금로29길 31,(방이동/ 방산중학교)
중학교,서울특별시 송파구 충민로 99,(장지동/ 문현중학교)
중학교,서울특별시 송파구 문정로 73,(문정동/ 문정중학교)
중학교,서울특별시 강동구 양재대로156길 57,(고덕동/명일중학교)
중학교,서울특별시 강동구 진황도로61길 25-30,(둔촌동)
중학교,서울특별시 강동구 진황도로 72,(천호동/ 동신중학교)
중학교,서울특별시 강동구 강동대로 305,(둔촌동)
중학교,서울특별시 강동구 동남로82길 94,(고덕동)
중학교,서울특별시 송파구 양산로2길 30,(거여동/거원중학교)
중학교,서울특별시 강동구 고덕로27길 12,(암사동414-17)
중학교,서울특별시 강동구 상일로12길 56,(강일동/ 강명중학교)
중학교,서울특별시 강동구 풍산로 237,/ 강동중학교 (강일동)
중학교,서울특별시 송파구 중대로10길 40-18,(가락동/가원중학교)
중학교,서울특별시 송파구 송이로 45,(송파동/가락중학교)
초등학교,서울특별시 강동구 풍성로 261,(서울한산초등학교/ 둔촌동)
초등학교,서울특별시 송파구 강동대로2길 13,/ (풍납동/풍성초등학교)
초등학교,서울특별시 송파구 풍성로 43,(풍납동)
초등학교,서울특별시 송파구 송파대로26길 22,/ 서울평화초등학교 (가락동)
초등학교,서울특별시 송파구 풍성로20길 44,/ 서울토성초등학교 (풍납동)
초등학교,서울특별시 강동구 구천면로 310-11,"(천호동,서울천호초등학교)"
초등학교,서울특별시 강동구 구천면로 266,/ 서울천일초등학교 (천호동)
초등학교,서울특별시 강동구 성안로 200,/ 서울천동초등학교 (길동)
초등학교,서울특별시 송파구 송파대로36길 8,(송파동)
초등학교,서울특별시 송파구 올림픽로37길 109,/ 서울잠현초등학교 (신천동)
초등학교,서울특별시 송파구 올림픽로12길 51,/ 서울잠전초등학교 (잠실동)
초등학교,서울특별시 송파구 올림픽로 95,/ 서울잠일초등학교 (잠실동)
초등학교,서울특별시 송파구 올림픽로35길 20,(신천동/잠실초등학교)
초등학교,서울특별시 송파구 잠실로 32,/ 서울잠신초등학교 (잠실동)
초등학교,서울특별시 송파구 올림픽로35길 122,(신천동/ 잠동초등학교)
초등학교,서울특별시 강동구 명일로 23,(둔촌동)
초등학교,서울특별시 송파구 양재대로 1196,/ 서울오륜초등학교 (방이동)
초등학교,서울특별시 송파구 위례성대로22길 11,(오금동/ 서울오금초등학교)
초등학교,서울특별시 송파구 오금로57길 15,/ 서울영풍초등학교 (거여동)
초등학교,서울특별시 송파구 올림픽로4길 59,/ 서울아주초등학교 (잠실동)
초등학교,서울특별시 송파구 올림픽로 215,(잠실동/ 주공아파트)
초등학교,서울특별시 강동구 올림픽로93길 33-16,/ 서울신암초등학교 (암사동)
초등학교,서울특별시 강동구 명일로24길 33,/ 서울신명초등학교 (길동)
초등학교,서울특별시 송파구 송이로 75,/ 서울신가초등학교 (가락동)
초등학교,서울특별시 송파구 백제고분로 400,(송파동)
초등학교,서울특별시 송파구 석촌호수로 159,(잠실동)
초등학교,서울특별시 송파구 위례순환로 439,(장지동)
초등학교,서울특별시 송파구 양재대로 1264,/ 서울세륜초등학교 (방이동)
초등학교,서울특별시 강동구 성내로15길 33,/ 서울성일초등학교 (성내동)
초등학교,서울특별시 강동구 성내로3길 19,(성내동/ 서울성내초등학교)
초등학교,서울특별시 강동구 올림픽로 837,/ 서울선사초등학교 (암사동/ 서울선사초등학교)
초등학교,서울특별시 강동구 진황도로61길 29,/ 서울선린초등학교 (둔촌동)
초등학교,서울특별시 송파구 가락로11길 26,/ 서울석촌초등학교 (석촌동)
초등학교,서울특별시 강동구 천호대로 1477,(상일동)
초등학교,서울특별시 송파구 백제고분로28길 19,(삼전동)
초등학교,서울특별시 송파구 석촌호수로 81,/ 서울버들초등학교 (잠실동)
초등학교,서울특별시 송파구 위례성대로10길 4,/ 서울방이초등학교 (방이동)
초등학교,서울특별시 송파구 오금로27길 42,(방이동)
초등학교,서울특별시 송파구 충민로 137,/ (서울문현초등학교) (장지동)
초등학교,서울특별시 송파구 문정로5길 20,/ 문정초등학교 (문정동)
초등학교,서울특별시 송파구 송이로34길 60,(문정동)
초등학교,서울특별시 강동구 동남로79길 46,(고덕동)
초등학교,서울특별시 강동구 고덕로38길 8,(암사동/ 서울명일초등학교)
초등학교,서울특별시 강동구 명일로 364,/ 서울명원초등학교 (명일동)
초등학교,서울특별시 강동구 양재대로156길 11,/ 서울명덕초등학교 (고덕동)
초등학교,서울특별시 송파구 마천로61다길 24,/ 서울마천초등학교 (마천동)
초등학교,서울특별시 강동구 양재대로88길 27,", 서울둔촌초등학교 (둔촌동)"
초등학교,서울특별시 강동구 상암로 271,(명일동/서울대명초등학교)
초등학교,서울특별시 송파구 성내천로 207,(마천동)
초등학교,서울특별시 강동구 양재대로116길 69,/ 서울길동초등학교 (길동)
초등학교,서울특별시 강동구 구천면로93길 20,/ 서울고일초등학교 (상일동)
초등학교,서울특별시 강동구 고덕로46길 53,/ 서울고명초등학교 (명일동)
초등학교,서울특별시 강동구 아리수로82길 42,/ 고덕초등학교 (고덕동)
초등학교,서울특별시 송파구 양산로2길 26,(거여동/거원초등학교)
초등학교,서울특별시 송파구 마천로25길 18,(오금동/ 거여초등학교)
초등학교,서울특별시 송파구 문정로 211,/ 서울개롱초등학교 (오금동)
초등학교,서울특별시 강동구 아리수로98길 24,/ 서울강일초등학교 (강일동)
초등학교,서울특별시 강동구 상일로 74-1,(상일동)
초등학교,서울특별시 강동구 상암로14길 77,(천호동/서울강동초등학교)
초등학교,서울특별시 강동구 동남로82길 94-54,(고덕동/ 서울강덕초등학교)
초등학교,서울특별시 송파구 오금로40길 37,/ 서울가주초등학교 (가락동/ 가주초등학교)
초등학교,서울특별시 송파구 중대로4길 8,(문정동/ 가원초등학교)
초등학교,서울특별시 송파구 송파대로37길 45,(가락동/ 가락초등학교)
초등학교,서울특별시 송파구 중대로20길 47,(가락동)
중학교,서울특별시 강북구 인수봉로 39,(미아동/ 솔샘중.고등학교)
중학교,서울특별시 성북구 월곡로 36,(종암동)
중학교,서울특별시 성북구 종암로 208,/ 숭곡중학교 (하월곡동)
중학교,서울특별시 강북구 도봉로13가길 19,(미아동/학교법인영훈학원)
중학교,서울특별시 성북구 성북로14가길 23,/ 홍익대학교사범대학부속중학교 (성북동/홍익대학교부속중고등학교)
중학교,서울특별시 성북구 삼선교로16길 118,(삼선동2가/한성여자중학교)
중학교,서울특별시 강북구 월계로 61,(송중동/ 창문여자중고등학교)
중학교,서울특별시 강북구 솔매로49길 20,(미아동/신일중고등학교)
중학교,서울특별시 강북구 도봉로29길 52,(미아동/학교법인성암학원)
중학교,서울특별시 성북구 북악산로 918,(돈암동/성신여자중학교)
중학교,서울특별시 강북구 삼양로155길 37-9,/ 서라벌중학교 (우이동)
중학교,서울특별시 성북구 성북로8길 71,(성북동/동구여자중학교)
중학교,서울특별시 성북구 한천로 660-30,(장위동/ 남대문중학교)
중학교,서울특별시 성북구 북악산로 870,(돈암동/고명중학교)
중학교,서울특별시 성북구 정릉로 161,(정릉동/고려대학교사범대학부속중학교)
중학교,서울특별시 성북구 길음로 144,/ 길음중학교 (길음동)
중학교,서울특별시 강북구 화계사길 63,(수유동)
중학교,서울특별시 성북구 종암로5길 80-17,(종암동/종암중학교)
중학교,서울특별시 성북구 장위로4길 70,(장위동/장위중학교)
중학교,서울특별시 강북구 인수봉로75길 10,(수유동/ 인수중학교)
중학교,서울특별시 성북구 장월로 6,(상월곡동/월곡중학교)
중학교,서울특별시 성북구 고려대로17가길 46,(안암동2가/ 용문중고등학교)
중학교,서울특별시 강북구 인수봉로37길 40,(수유동/수유중학교)
중학교,서울특별시 강북구 한천로122길 21,(번동/수송중학교)
중학교,서울특별시 성북구 한천로 526,(석관동/석관중학교)
중학교,서울특별시 성북구 동소문로3길 69,(동소문동4가/삼선중학교)
중학교,서울특별시 강북구 삼양로19길 141,/ 삼각산중학교 (미아동)
중학교,서울특별시 성북구 정릉로12길 41,(정릉동/북악중학교)
중학교,서울특별시 강북구 오현로35길 87,(번동/번동중학교)
중학교,서울특별시 성북구 북악산로 935,(돈암동/개운중학교)
중학교,서울특별시 강북구 한천로150길 67,(수유동/ 강북중학교)
초등학교,서울특별시 성북구 성북로4길 52-1,(돈암동/우촌초등학교)
초등학교,서울특별시 강북구 도봉로13가길 19,(미아동/학교법인영훈학원)
초등학교,서울특별시 성북구 북악산로 918,(돈암동/성신초등학교)
초등학교,서울특별시 성북구 북악산로 870,(돈암동)
초등학교,서울특별시 성북구 안암로 5,(보문동7가/대광초등학교)
초등학교,서울특별시 성북구 한천로 694,/ 광운초등학교 (장위동/ 광운초등학교)
초등학교,서울특별시 강북구 솔매로50가길 25,(미아동)
초등학교,서울특별시 성북구 정릉로9라길 11,(정릉동/서울청덕초등학교)
초등학교,서울특별시 성북구 정릉로24길 58,(정릉동/서울정수초등학교)
초등학교,서울특별시 성북구 솔샘로25가길 8,(정릉동/서울정릉초등학교)
초등학교,서울특별시 성북구 아리랑로 63,(동소문동7가/서울정덕초등학교)
초등학교,서울특별시 성북구 장월로8가길 41,(장위동/서울장위초등학교)
초등학교,서울특별시 성북구 한천로101길 66,(장위동/ 서울장월초등학교)
초등학교,서울특별시 성북구 장월로23길 16,(장위동/서울장곡초등학교)
초등학교,서울특별시 성북구 월곡로 74,(종암동/서울일신초등학교)
초등학교,서울특별시 강북구 인수봉로 269,(수유동/서울인수초등학교)
초등학교,서울특별시 강북구 인수봉로37길 24,(수유동/서울유현초등학교)
초등학교,서울특별시 성북구 장월로3길 42,(장위동/서울월곡초등학교)
초등학교,서울특별시 강북구 삼양로99길 36,(수유동/서울우이초등학교)
초등학교,서울특별시 강북구 월계로 221,(번동/오현초등학교)
초등학교,서울특별시 성북구 고려대로7가길 39,(안암동2가/ 서울안암초등학교)
초등학교,서울특별시 성북구 오패산로16길 37,(하월곡동/서울숭인초등학교)
초등학교,서울특별시 성북구 종암로5길 14,(종암동/서울숭례초등학교)
초등학교,서울특별시 성북구 정릉로 279,(정릉동/서울숭덕초등학교)
초등학교,서울특별시 성북구 종암로40길 30,(하월곡동/서울숭곡초등학교)
초등학교,서울특별시 강북구 삼양로74길 39,/ 수유초등학교
초등학교,서울특별시 강북구 한천로124길 14,(번동)
초등학교,서울특별시 강북구 삼양로20길 29,(미아동/서울송천초등학교)
초등학교,서울특별시 강북구 오현로 9,(미아동/송중초등학교)
초등학교,서울특별시 성북구 성북로 102-10,(성북동/서울성북초등학교)
초등학교,서울특별시 성북구 돌곶이로22길 21,/ 서울석관초등학교 (석관동/서울석관초등학교)
초등학교,서울특별시 성북구 한천로58길 273,(석관동)
초등학교,서울특별시 강북구 삼양로49길 17,(미아동/삼양초등학교)
초등학교,서울특별시 성북구 보문로29길 106,(삼선동3가/서울삼선초등학교)
초등학교,서울특별시 강북구 삼양로19길 141,(미아동/삼각산초등학교)
초등학교,서울특별시 강북구 오현로 204,(번동/번동초등학교)
초등학교,서울특별시 강북구 솔샘로 195,(미아동/미양초등학교)
초등학교,서울특별시 성북구 삼양로 77,(길음동/ 서울미아초등학교)
초등학교,서울특별시 성북구 보문사길 50,(보문동3가/서울동신초등학교)
초등학교,서울특별시 성북구 동소문로13길 38,(동소문동6가/서울돈암초등학교)
초등학교,서울특별시 성북구 길음로 142,(길음동/서울길음초등학교)
초등학교,서울특별시 성북구 길음로15길 55,/ 서울길원초등학교 (길음동)
초등학교,서울특별시 성북구 정릉로48길 52,(돈암동/서울개운초등학교)
초등학교,서울특별시 강남구 선릉로 15,"(개포동, 서울개현초등학교)"
중학교,서울특별시 서초구 청계산로7길 9-20,(신원동)
초등학교,서울특별시 강남구 자곡로 150,(자곡동)
초등학교,서울특별시 강남구 밤고개로21길 15,/ 서울율현초등학교 (자곡동)
중학교,서울특별시 강남구 자곡로 81,(자곡동/ 세곡중학교)
초등학교,서울특별시 서초구 양재대로2길 74,/ 서울우솔초등학교 (우면동)
초등학교,서울특별시 강남구 자곡로 55,/ 서울세명초등학교 (세곡동)
중학교,서울특별시 강남구 역삼로 541,(대치동)
중학교,서울특별시 강남구 선릉로85길 27,(역삼동/ 진선여자중학교)
중학교,서울특별시 강남구 일원로8길 37,중동중학교
중학교,서울특별시 강남구 남부순환로359길 36,(도곡동/은광여자고등학교)
중학교,서울특별시 강남구 남부순환로 2807,/ 숙명여자중학교
중학교,서울특별시 서초구 신반포로 56-7,/ 세화여자중학교 (반포동/강당)
중학교,서울특별시 서초구 동광로12길 84,(방배동)
중학교,서울특별시 서초구 효령로2길 123-5,(방배동/동덕여자중고등학교)
중학교,서울특별시 강남구 도곡로64길 21,(대치동)
중학교,서울특별시 강남구 압구정로61길 36,(청담동/청담중학교)
중학교,서울특별시 서초구 방배중앙로3길 32,(방배동/이수중학교)
중학교,서울특별시 서초구 사평대로45길 10,(반포동/원촌중학교)
중학교,서울특별시 서초구 성촌길 14,(우면동/영동중학교)
중학교,서울특별시 강남구 도곡로43길 10,(역삼동/역삼중학교)
중학교,서울특별시 강남구 선릉로116길 57,/ 언주중학교
중학교,서울특별시 강남구 도산대로38길 27,(논현동/언북중학교)
중학교,서울특별시 서초구 동산로 55,(양재동/언남중학교)
중학교,서울특별시 강남구 압구정로 225,/ 압구정중학교 (압구정동/압구정중학교)
중학교,서울특별시 강남구 압구정로 123,(압구정동/신사중학교)
중학교,서울특별시 서초구 신반포로19길 26,/ 신반포중학교 (반포동/신반포중학교)
중학교,서울특별시 서초구 나루터로 27,/ 신동중학교 (잠원동/신동중학교)
중학교,서울특별시 강남구 압구정로36길 17,(신사동/신구중학교)
중학교,서울특별시 강남구 광평로59길 57,(수서동/수서중학교)
중학교,서울특별시 서초구 반포대로13길 48,(서초동/서초중학교)
중학교,서울특별시 서초구 서운로21길 2,(서초동/서일중학교)
중학교,서울특별시 서초구 서운로 115,(서초동/서운중학교)
중학교,서울특별시 강남구 영동대로128길 59,(삼성동)
중학교,서울특별시 서초구 동광로 144,(반포동/방배중학교)
중학교,서울특별시 서초구 신반포로 67,"(반포동,반포중학교)"
중학교,서울특별시 강남구 언주로57길 31,(도곡동/도곡중학교)
중학교,서울특별시 강남구 남부순환로378길 39,(도곡동/대치중학교)
중학교,서울특별시 강남구 양재천로 321,(대치동/ 대청중학교)
중학교,서울특별시 강남구 광평로20길 7,(수서동/ 대왕중학교)
중학교,서울특별시 강남구 역삼로87길 26,(대치동/ 대명중학교)
중학교,서울특별시 강남구 선릉로 103,"(개포동,구룡중학교)"
중학교,서울특별시 서초구 신반포로33길 39,(잠원동/경원중학교)
중학교,서울특별시 강남구 선릉로 9,(개포동/개포중학교)
